Complaint_No,Weapon_Type
20150105220905,"Personal Weapons (hands,feet,teeth,etc.)"
20150105221200,"Personal Weapons (hands,feet,teeth,etc.)"
20150105224304,"Personal Weapons (hands,feet,teeth,etc.)"
20150105224706,"Personal Weapons (hands,feet,teeth,etc.)"
20150105225001,Handgun                                 
20150105233402,"Personal Weapons (hands,feet,teeth,etc.)"
20150105234401,"Personal Weapons (hands,feet,teeth,etc.)"
20150105234401,Handgun                                 
20150106005400,"Personal Weapons (hands,feet,teeth,etc.)"
20150106010103,Undetermined Firearm                    
20150106013701,Handgun                                 
20150106024600,Handgun                                 
20150106032700,"Personal Weapons (hands,feet,teeth,etc.)"
20150106040701,Handgun                                 
20150106042000,"Personal Weapons (hands,feet,teeth,etc.)"
20150106080107,"Personal Weapons (hands,feet,teeth,etc.)"
20150106094403,"Personal Weapons (hands,feet,teeth,etc.)"
20150106110203,"Personal Weapons (hands,feet,teeth,etc.)"
20150106112401,Not Applicable/None                     
20150106114500,"Personal Weapons (hands,feet,teeth,etc.)"
20150106140201,Knife                                   
20150106140505,"Personal Weapons (hands,feet,teeth,etc.)"
20150106141401,Knife                                   
20150106155708,"Personal Weapons (hands,feet,teeth,etc.)"
20150106163106,"Personal Weapons (hands,feet,teeth,etc.)"
20150106163503,"Personal Weapons (hands,feet,teeth,etc.)"
20150106172801,Knife                                   
20150106172902,"Personal Weapons (hands,feet,teeth,etc.)"
20150106181300,"Blunt Object(club,hammer,etc)           "
20150106184401,"Personal Weapons (hands,feet,teeth,etc.)"
20150106184800,"Personal Weapons (hands,feet,teeth,etc.)"
20150106184802,Handgun                                 
20150106190601,Undetermined Firearm                    
20150106190602,Other Weapon                            
20150106190902,Handgun                                 
20150106193603,"Personal Weapons (hands,feet,teeth,etc.)"
20150106193603,Other Firearm                           
20150106204702,Handgun                                 
20150106204802,"Personal Weapons (hands,feet,teeth,etc.)"
20150106223203,"Personal Weapons (hands,feet,teeth,etc.)"
20150106225203,"Personal Weapons (hands,feet,teeth,etc.)"
20150107014405,Handgun                                 
20150107025102,Handgun                                 
20150107031501,Handgun                                 
20150107060401,Not Applicable/None                     
20150107075104,"Personal Weapons (hands,feet,teeth,etc.)"
20150107075902,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20150107091302,"Personal Weapons (hands,feet,teeth,etc.)"
20150107104703,"Personal Weapons (hands,feet,teeth,etc.)"
20150107111307,"Personal Weapons (hands,feet,teeth,etc.)"
20150107113106,Not Applicable/None                     
20150107121602,Handgun                                 
20150107131400,"Personal Weapons (hands,feet,teeth,etc.)"
20150107131800,"Personal Weapons (hands,feet,teeth,etc.)"
20150107143501,Handgun                                 
20150107143700,Knife                                   
20150107145801,"Personal Weapons (hands,feet,teeth,etc.)"
20150107145801,Vehicle                                 
20150107152601,Knife                                   
20150107160904,"Personal Weapons (hands,feet,teeth,etc.)"
20150107165800,"Personal Weapons (hands,feet,teeth,etc.)"
20150107171304,Vehicle                                 
20150107180700,Other Weapon                            
20150107181701,"Personal Weapons (hands,feet,teeth,etc.)"
20150107182801,"Blunt Object(club,hammer,etc)           "
20150107200202,"Personal Weapons (hands,feet,teeth,etc.)"
20150107213204,Rifle                                   
20150107234701,"Personal Weapons (hands,feet,teeth,etc.)"
20150108024102,Handgun                                 
20150108031400,Handgun                                 
20150108110105,Handgun                                 
20150108112800,Not Applicable/None                     
20150108113403,"Personal Weapons (hands,feet,teeth,etc.)"
20150108115605,Knife                                   
