Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20150117031600,2009,Saturn - G M Div                                                      ,VIEW                          ,Burgundy/Burgundy                                                     ,Sport Utility Vehicle                                                 
20150117062601,2005,Chrysler                                                              ,300,Red/Red                                                               ,4-Door                                                                
20150117083803,    ,Mini                                                                  ,COOPER                        ,Beige/Beige                                                           ,2-Door                                                                
20150117093201,2008,Chevrolet                                                             ,MALIBU LS                     ,White/White                                                           ,4-Door                                                                
20150117102403,1999,Volkswagen                                                            ,PASSAT                        ,Black/Black                                                           ,4-Door                                                                
20150117110304,2000,Honda                                                                 ,CIVIC EX                      ,Gray/Gray                                                             ,4-Door                                                                
20150117125000,2009,Chevrolet                                                             ,MALIBU LT                     ,Gray/Gray                                                             ,4-Door                                                                
20150117131101,2012,Chevrolet                                                             ,MALIBU LT                     ,Silver/Silver                                                         ,4-Door                                                                
20150117134702,1998,Ford                                                                  ,MUSTANG                       ,Red/Red                                                               ,2-Door                                                                
20150117142101,2012,Dodge                                                                 ,GRAND CARAVAN                 ,White/White                                                           ,Van                                                                   
20150117215102,1997,Chevrolet                                                             ,VAN                           ,White/White                                                           ,Van                                                                   
20150118023101,2001,Toyota                                                                ,CAMRY                         ,Brown/Brown                                                           ,4-Door                                                                
20150118070300,2011,Kia Motors                                                            ,FORTE                         ,Gray/                                                                 ,4-Door                                                                
20150118073100,2002,Ford                                                                  ,F350                          ,Black/Gold                                                            ,Pick-up Truck                                                         
20150118084900,2011,Honda                                                                 ,CIVIC                         ,Black/Black                                                           ,4-Door                                                                
20150118093601,2010,Nissan                                                                ,ALTIMA                        ,Gray/Gray                                                             ,4-Door                                                                
20150118093604,1998,Honda                                                                 ,CIVIC                         ,"Blue, Light/Blue, Light                                               ",4-Door                                                                
20150118105202,1994,Honda                                                                 ,CIVIC COUPE                   ,Red/Red                                                               ,2-Door                                                                
20150118105702,1999,Honda                                                                 ,CIVIC                         ,Gray/Gray                                                             ,2-Door                                                                
20150118141802,2003,Ford                                                                  ,CROWN VICTORIA                ,Black/Black                                                           ,4-Door                                                                
20150118152900,2007,Toyota                                                                ,CAMRY                         ,Teal/Teal                                                             ,4-Door                                                                
20150118172204,2009,Audi                                                                  ,A8                            ,Silver/Silver                                                         ,4-Door                                                                
20150118203800,2002,Mazda                                                                 ,A3                            ,White/White                                                           ,Sport Utility Vehicle                                                 
20150119064500,2001,Ford                                                                  ,F-250                         ,Green/Green                                                           ,Pick-up Truck                                                         
20150119080403,2002,Ford                                                                  ,TAURUS                        ,White/White                                                           ,4-Door                                                                
20150119090405,2010,Chevrolet                                                             ,C2500H                        ,White/White                                                           ,Pick-up Truck                                                         
20150119105900,2013,Ford                                                                  ,MUSTANG                       ,Gray/Gray                                                             ,2-Door                                                                
20150119113304,2015,Chevrolet                                                             ,CAPTIVA                       ,Gray/Gray                                                             ,4-Door                                                                
20150119115905,2006,Volkswagen                                                            ,JETTA                         ,"Blue, Dark/Blue, Dark                                                 ",4-Door                                                                
20150119131401,2012,Mitsubishi                                                            ,GALANT                        ,Red/Red                                                               ,4-Door                                                                
20150119152902,2013,Dodge                                                                 ,AVENGER                       ,Black/Black                                                           ,4-Door                                                                
20150119183402,2001,Infiniti                                                              ,I30                           ,Green/Green                                                           ,4-Door                                                                
20150119212201,2012,Nissan                                                                ,ALTIMA                        ,Silver/Silver                                                         ,2-Door                                                                
20150120012100,2008,Chevrolet                                                             ,COBALT                        ,Black/Black                                                           ,4-Door                                                                
20150120055200,2006,Other - INTERNATIONAL                                                 ,4000 SERIES                   ,Black/Black                                                           ,Other - Box Truck                                                     
20150120073101,2005,Dodge                                                                 ,DURANGO                       ,Gray/Black                                                            ,Sport Utility Vehicle                                                 
20150120073206,2007,Suzuki                                                                ,GRAND VITARA                  ,Silver/Silver                                                         ,Sport Utility Vehicle                                                 
20150120173503,2000,Toyota                                                                ,COROLLA                       ,White/White                                                           ,4-Door                                                                
20150120193100,2000,Honda                                                                 ,CIVIC EX                      ,Green/Green                                                           ,2-Door                                                                
20150120195400,2013,Ford                                                                  ,EDGE                          ,Red/Red                                                               ,Other - MP                                                            
