Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20130112060700,1997,Honda                                                                 ,ACCORD                        ,Gray/Gray                                                             ,4-Door                                                                
20130112075601,1997,Ford                                                                  ,F250                          ,Red/Red                                                               ,Pick-up Truck                                                         
20130112110101,1996,Honda                                                                 ,ACCORD                        ,Gray/Gray                                                             ,4-Door                                                                
20130112110202,1999,Honda                                                                 ,CIVIC                         ,Black/Black                                                           ,2-Door                                                                
20130112111104,1992,Honda                                                                 ,PRELUDE                       ,"Green, Light/Green, Light                                             ",2-Door                                                                
20130112145401,2002,Chevrolet                                                             ,TAHOE                         ,Red/Red                                                               ,Sport Utility Vehicle                                                 
20130113011006,1993,Chevrolet                                                             ,CAPRICE CLASSIC               ,Blue/Blue                                                             ,4-Door                                                                
20130113040200,2013,Hyundai                                                               ,ELANTRA                       ,"Blue, Light/Blue, Light                                               ",4-Door                                                                
20130113074400,1997,Jeep - 1989 and Newer                                                 ,GRAND CHEROKEE                ,Silver/Silver                                                         ,4-Door                                                                
20130113084500,2013,Freightliner Corp                                                     ,CASCADIA                      ,White/White                                                           ,Semi-Tractor                                                          
20130113084500,2010,Other - Bobcat                                                        ,S175                          ,White/White                                                           ,Bobcat                                                                
20130113084500,2010,Other - John Deere                                                    ,SKID STEER 318D               ,Yellow/Yellow                                                         ,Bobcat                                                                
20130113084500,2010,Other - John Deere                                                    ,SKID STEER 326D               ,Yellow/Yellow                                                         ,Bobcat                                                                
20130113084500,2006,Other - Trail King                                                    ,TK70HT                        ,Yellow/Yellow                                                         ,Semi-Trailer                                                          
20130113094301,2005,Lexus                                                                 ,ES330                         ,Silver/Silver                                                         ,4-Door                                                                
20130113120700,2008,Mazda                                                                 ,3 HATCH                       ,Tan/Tan                                                               ,3-Door Hatchback                                                      
20130113123701,2001,Chrysler                                                              ,SEBRING LX                    ,Black/Black                                                           ,4-Door                                                                
